teamid,playerid,tournamentid,unk1,avg,app,goals,unk2,assists,unk3,yellowcards,redcards,unk6,unk7,cleansheets,unk9,unk10,unk11,unk12,unk13,date1,date2,date3
1944,280334,1759,450,73,5,0,0,0,0,0,0,0,3,3,1,927465472,82,0,0,20210718,20210714,20210711
1944,280189,1759,450,68,5,0,0,0,0,1,0,0,3,3,1,860225536,74,0,0,20210718,20210714,20210711
1944,280442,1759,450,73,5,0,0,1,0,0,0,0,3,3,1,944111616,77,0,0,20210718,20210714,20210711
1944,280021,1759,420,69,5,0,0,0,0,0,0,0,3,3,1,876740608,75,0,0,20210718,20210714,20210711
1944,280041,1759,450,70,5,0,0,0,0,0,0,0,3,3,1,893779968,77,0,0,20210718,20210714,20210711
1944,282103,1759,403,70,5,0,0,0,0,0,0,0,2,3,1,1011023872,77,0,0,20210718,20210714,20210711
1944,280250,1759,419,74,5,3,0,1,0,1,0,0,3,3,1,1010892800,83,256,1,20210718,20210714,20210711
1944,220834,1759,414,70,5,0,0,0,0,0,0,0,3,2,1,927399936,73,0,0,20210718,20210714,20210711
1944,223085,1759,450,87,5,5,0,4,4,0,0,0,3,3,1,1013055488,94,258,1,20210718,20210714,20210711
7,195668,759,270,57,3,0,0,0,0,0,0,0,4,0,25,14912,49,0,0,20220212,20220123,20220115
1944,280444,1759,397,71,5,1,0,0,0,0,0,0,3,2,1,961544192,74,0,0,20210718,20210714,20210711
1944,280022,1759,80,69,3,1,0,0,0,0,0,0,0,0,1,4915200,66,0,1,20210714,20210711,20210704
1944,280262,1759,30,69,1,0,0,0,0,0,0,0,0,0,1,0,69,0,0,20210704,0,0
1944,280438,1759,47,65,2,0,0,0,0,0,0,0,1,0,2,1174405120,60,0,0,20210707,20210704,0
45,189342,1759,270,51,3,0,0,0,0,0,0,0,8,0,3,758054912,63,0,0,20210711,20210707,20210704
45,188377,1759,245,47,3,0,0,0,0,0,1,0,8,0,3,825098240,48,0,0,20210711,20210707,20210704
45,177509,1759,238,51,3,0,0,0,0,1,0,0,7,0,3,791740416,59,0,0,20210711,20210707,20210704
45,220477,1759,241,54,3,0,0,0,0,0,0,0,6,0,3,791871488,64,0,0,20210711,20210707,20210704
95,220894,360,90,78,1,0,0,0,0,0,0,0,0,1,1,0,78,0,0,20220129,0,0
45,170890,1759,186,50,3,0,0,0,0,0,0,0,6,0,3,875429888,52,0,0,20210711,20210707,20210704
45,194753,1759,270,50,3,0,0,0,0,0,0,0,8,0,3,875233280,57,0,0,20210711,20210707,20210704
45,198784,1759,90,45,1,0,0,0,0,0,0,0,4,0,1,0,45,0,0,20210704,0,0
45,202884,1759,242,54,3,1,0,0,0,0,0,0,8,0,3,775553024,60,0,1,20210711,20210707,20210704
45,211110,1759,270,60,3,2,0,1,0,0,0,0,8,0,3,976617472,70,257,0,20210711,20210707,20210704
45,225332,1759,270,59,3,0,0,0,0,0,0,0,8,0,3,1010237440,64,0,0,20210711,20210707,20210704
45,205452,1759,29,60,1,0,0,0,0,0,0,0,2,0,1,0,60,0,0,20210704,0,0
45,226221,1759,18,58,1,0,0,0,0,0,0,0,1,0,1,0,58,0,0,20210704,0,0
73,188943,1759,450,68,5,0,0,0,0,0,0,0,4,2,1,1179582464,61,0,0,20210718,20210714,20210711
73,215181,1759,360,71,4,0,0,0,0,1,0,0,2,2,1,1162608640,62,0,0,20210714,20210711,20210707
94,281994,759,90,61,1,0,0,0,0,0,0,0,1,0,19,0,61,0,0,20220101,0,0
73,283611,1759,360,74,4,0,0,1,1,0,0,0,2,2,1,1112342528,64,0,0,20210714,20210711,20210707
73,202501,1759,360,70,4,0,0,0,0,0,0,0,2,2,1,1162608640,61,0,0,20210714,20210711,20210707
73,234799,1759,334,70,4,0,0,0,0,0,0,0,2,2,1,1162608640,57,0,0,20210714,20210711,20210707
73,230012,1759,103,63,2,0,0,0,0,0,1,0,0,1,1,0,54,0,0,20210714,20210704,0
73,229195,1759,401,65,5,0,0,1,0,0,0,0,3,2,1,994836480,57,0,0,20210718,20210714,20210711
73,280505,1759,262,68,4,0,0,0,0,0,0,0,1,1,1,1228668928,68,0,0,20210714,20210711,20210707
73,179813,1759,338,71,4,2,0,0,1,1,0,0,2,2,1,1161822208,70,257,0,20210714,20210711,20210707
73,206590,1759,343,67,4,0,0,0,0,0,0,0,2,2,1,1212022784,62,0,0,20210714,20210711,20210707
73,280289,1759,100,64,2,0,0,1,0,1,0,0,2,0,1,0,73,0,0,20210718,20210704,0
73,202126,1759,123,66,3,2,0,0,0,1,0,0,2,0,1,0,75,256,1,20210718,20210714,20210704
73,224411,1759,51,63,3,0,0,0,0,0,0,0,1,0,1,4194304,66,0,0,20210718,20210711,20210704
21,186569,1759,270,59,3,0,0,0,0,0,0,0,4,0,3,1144389632,55,0,0,20210711,20210707,20210704
21,284363,1759,252,63,3,0,0,1,0,0,0,0,3,0,3,1345781760,54,0,0,20210711,20210707,20210704
21,236467,1759,270,59,3,0,0,0,0,0,0,0,4,0,3,1144455168,56,0,0,20210711,20210707,20210704
45,281868,1759,270,60,3,0,0,0,0,0,0,0,4,0,3,1211498496,54,0,0,20210711,20210707,20210704
21,284037,1759,270,59,3,0,0,0,0,0,0,0,4,0,3,1194786816,51,0,0,20210711,20210707,20210704
21,231227,1759,246,61,3,0,0,0,0,0,0,0,3,1,3,1128333312,52,0,0,20210711,20210707,20210704
21,283697,1759,243,59,3,0,0,0,0,0,0,0,2,1,3,1228144640,53,0,0,20210711,20210707,20210704
21,283682,1759,205,66,3,1,0,0,1,0,0,0,2,1,3,1346437120,53,256,0,20210711,20210707,20210704
21,283125,1759,163,54,2,1,0,0,0,0,1,0,2,0,2,872415232,56,1,0,20210707,20210704,0
21,204923,1759,235,63,3,0,0,0,0,0,0,0,2,2,3,1212219392,54,0,0,20210711,20210707,20210704
21,189596,1759,229,62,3,0,0,0,0,0,0,0,3,0,3,1178009600,61,0,0,20210711,20210707,20210704
21,212194,1759,13,59,1,0,0,0,0,0,0,0,1,0,1,0,59,0,0,20210704,0,0
21,213565,1759,127,56,3,0,0,0,0,0,0,0,4,0,3,977010688,52,0,0,20210711,20210707,20210704
21,197445,1759,39,61,2,0,0,0,0,0,0,0,2,0,3,3866624,63,0,0,20210711,20210704,0
241,204966,1759,360,74,4,0,0,0,0,0,0,0,2,3,1,1381105664,79,0,0,20210714,20210711,20210707
241,281932,1759,360,75,4,1,0,0,0,1,0,0,2,3,1,1314324480,80,0,0,20210714,20210711,20210707
241,184432,1759,360,72,4,0,0,0,0,0,0,0,2,3,1,1263534080,78,0,0,20210714,20210711,20210707
241,282714,1759,360,71,4,0,0,0,0,0,0,0,2,3,1,1347354624,76,0,0,20210714,20210711,20210707
