growthdate,injurydate,initialcurveoffset,playerid,injuryduration
7710,0,244,280608,0
9135,0,52,28,0
9145,0,48,41,0
7710,0,286,280615,0
7710,0,278,280557,0
8126,0,304,281162,0
8958,0,218,284012,0
9138,0,284,282878,0
8490,0,278,281163,0
9124,0,239,280538,0
8126,0,269,281280,0
7710,0,315,280537,0
8126,0,271,281309,0
8727,0,92,2196,0
8126,0,280,281164,0
8126,0,263,281353,0
8897,0,238,280497,0
8126,0,292,281350,0
7710,0,272,280530,0
7710,0,264,280517,0
9128,0,43,3974,0
8958,0,327,283879,0
7710,0,282,280516,0
9135,0,257,282552,0
8126,0,209,281429,0
7710,0,304,280515,0
8913,0,152,6826,0
9134,0,259,280556,0
8958,0,297,283747,0
7710,0,327,280555,0
8126,0,248,281308,0
9136,0,299,282639,0
8734,0,233,280465,0
7710,0,296,280582,0
8958,0,272,283789,0
7710,0,251,280699,0
7710,0,316,280560,0
8542,0,315,282594,0
8721,0,271,281444,0
8126,0,284,281120,0
8708,0,186,10884,0
8126,0,286,281161,0
9148,0,22,11381,0
8542,0,301,282421,0
8725,0,288,280496,0
7710,0,349,280495,0
8899,0,65,11793,0
9150,0,89,11811,0
8921,0,263,280456,0
8126,0,248,281349,0
7710,0,352,280494,0
8126,0,309,281160,0
9137,0,294,281528,0
9147,0,235,280698,0
8126,0,212,281245,0
8077,0,138,16254,0
7710,0,317,280461,0
7710,0,326,280564,0
9139,0,3,18115,0
8916,0,74,18122,0
7710,0,210,280569,0
7710,0,289,280493,0
9145,0,4,18771,0
9134,0,235,281468,0
8126,0,292,281159,0
9131,0,237,281158,0
8958,0,366,283595,0
9151,0,241,280576,0
9149,0,276,281157,0
7710,0,250,280581,0
9131,0,86,20289,0
9149,0,45,20551,0
7294,0,40,20689,0
8126,0,270,281443,0
7710,0,323,280580,0
9143,0,258,281348,0
9249,0,41,20801,0
8542,0,362,282420,0
9141,0,302,282530,0
9134,0,249,281442,0
9138,0,24,24630,0
8542,0,307,282593,0
9138,0,304,282668,0
7710,0,322,280721,0
8126,0,264,281825,0
8094,0,211,280612,0
8542,0,246,282736,0
7710,0,324,280492,0
9135,0,296,283746,0
8126,0,217,281754,0
7710,0,291,280697,0
8126,0,305,281782,0
9123,0,208,281201,0
7710,0,305,280514,0
8542,0,275,282467,0
7710,0,232,280611,0
8126,0,312,281452,0
8542,0,309,282363,0
8126,0,335,281296,0
7710,0,277,280607,0
8126,0,249,281225,0
8126,0,278,281441,0
8735,0,283,280610,0
9146,0,227,283788,0
8710,0,284,280554,0
8709,0,206,281295,0
8126,0,290,281294,0
8731,0,265,282735,0
8126,0,331,281440,0
8126,0,269,281439,0
8126,0,249,281767,0
8126,0,256,281293,0
8542,0,306,282608,0
8542,0,324,282335,0
9121,0,21,47201,0
8958,0,324,284415,0
9139,0,284,281629,0
8126,0,344,281824,0
7710,0,294,280651,0
9140,0,256,281112,0
8958,0,195,283883,0
8126,0,339,281292,0
7710,0,286,280553,0
7710,0,266,280591,0
7710,0,311,280460,0
7710,0,305,280650,0
8126,0,290,281428,0
8711,0,260,280552,0
9135,0,21,49472,0
9137,0,41,49486,0
7710,0,241,280513,0
9131,0,254,281322,0
8958,0,305,283972,0
8126,0,315,281200,0
8126,0,306,281119,0
8542,0,331,282759,0
9137,0,5,49966,0
9147,0,264,281785,0
7710,0,244,280679,0
8958,0,302,283594,0
8126,0,340,281156,0
7710,0,297,280491,0
7710,0,333,280490,0
8126,8718,289,281858,43
8542,0,276,282466,0
7710,0,234,280551,0
8958,0,270,283808,0
7710,0,258,280512,0
8126,0,183,281347,0
7710,0,289,280489,0
8958,0,311,284011,0
8126,0,297,281377,0
9136,0,243,281155,0
7710,0,332,280731,0
8542,0,284,282667,0
9136,0,238,281376,0
7710,0,282,280511,0
8725,0,205,281291,0
8958,0,388,283647,0
8126,0,338,281154,0
8726,0,280,280510,0
9146,0,245,280509,0
9136,0,26,52201,0
8126,0,308,281224,0
7710,0,289,280563,0
9123,0,0,52326,0
8126,0,297,281451,0
8958,0,321,283807,0
8958,0,330,283806,0
8958,0,328,283698,0
7710,0,338,280529,0
9151,0,19,52752,0
8542,0,326,282758,0
8488,0,242,281427,0
8542,0,345,282582,0
8481,0,175,280606,0
7710,0,325,280705,0
8126,0,323,281786,0
8542,0,283,282326,0
8092,0,251,280523,0
8126,0,250,281375,0
9142,0,60,53302,0
9137,0,239,280488,0
9136,0,4,53363,0
9122,0,1,53412,0
8126,0,321,281167,0
8126,0,293,281346,0
8542,0,233,282592,0
