competitionid,artificialkey,adsponserid,isapproved,dynamicimageid
353,1,24,1,3
353,2,24,1,8
353,3,38,1,0
353,4,5,1,70
353,5,37,1,0
353,6,29,1,0
353,7,49,1,0
353,8,36,1,0
353,9,39,1,0
353,10,68,1,0
7,11,24,1,3
7,12,24,1,8
7,13,38,1,0
7,14,4,1,63
7,15,4,1,75
7,16,37,1,0
7,17,29,1,0
7,18,36,1,0
7,19,39,1,0
7,20,68,1,0
335,21,24,1,74
335,22,24,1,3
335,23,24,1,8
335,24,38,1,0
335,25,37,1,0
335,26,29,1,0
335,27,49,1,0
335,28,36,1,0
335,29,39,1,0
335,30,68,1,0
156,31,24,1,74
156,32,24,1,3
156,33,24,1,8
156,34,38,1,0
156,35,37,1,0
156,36,29,1,0
156,37,49,1,0
156,38,36,1,0
156,39,39,1,0
156,40,68,1,0
157,41,24,1,74
157,42,24,1,3
157,43,24,1,8
157,44,38,1,0
157,45,37,1,0
157,46,29,1,0
157,47,49,1,0
157,48,36,1,0
157,49,39,1,0
157,50,68,1,0
336,51,24,1,80
336,52,24,1,3
336,53,24,1,8
336,54,38,1,0
336,55,5,1,81
336,56,5,1,82
336,57,37,1,0
336,58,29,1,0
336,59,39,1,0
336,60,68,1,0
57,61,24,1,80
57,62,24,1,3
57,63,24,1,8
57,64,38,1,0
57,65,5,1,81
57,66,5,1,82
57,67,37,1,0
57,68,29,1,0
57,69,39,1,0
57,70,68,1,0
58,71,24,1,80
58,72,24,1,3
58,73,24,1,8
58,74,38,1,0
58,75,5,1,81
58,76,5,1,82
58,77,37,1,0
58,78,29,1,0
58,79,39,1,0
58,80,68,1,0
14,81,4,1,88
14,82,4,1,89
14,83,24,1,3
14,84,24,1,8
14,85,38,1,0
14,86,37,1,0
14,87,29,1,0
14,88,36,1,0
14,89,39,1,0
14,90,68,1,0
60,91,4,1,88
60,92,4,1,89
60,93,24,1,3
60,94,24,1,8
60,95,38,1,0
60,96,37,1,0
60,97,29,1,0
60,98,36,1,0
60,99,39,1,0
60,100,68,1,0
61,101,4,1,88
61,102,4,1,89
61,103,24,1,3
61,104,24,1,8
61,105,38,1,0
61,106,37,1,0
61,107,29,1,0
61,108,36,1,0
61,109,39,1,0
61,110,68,1,0
360,111,4,1,88
360,112,4,1,89
360,113,24,1,3
360,114,24,1,8
360,115,38,1,0
360,116,37,1,0
360,117,29,1,0
360,118,36,1,0
360,119,39,1,0
360,120,68,1,0
361,121,4,1,88
361,122,4,1,89
361,123,24,1,3
361,124,24,1,8
361,125,38,1,0
361,126,37,1,0
361,127,29,1,0
361,128,36,1,0
361,129,39,1,0
361,130,68,1,0
414,131,4,1,88
414,132,4,1,89
414,133,24,1,3
414,134,24,1,8
414,135,38,1,0
414,136,37,1,0
414,137,29,1,0
414,138,36,1,0
414,139,39,1,0
414,140,68,1,0
16,141,24,1,3
16,142,24,1,8
16,143,38,1,0
16,144,4,1,76
16,145,4,1,77
16,146,37,1,0
16,147,29,1,0
16,148,36,1,0
16,149,39,1,0
16,150,68,1,0
17,151,24,1,3
17,152,24,1,8
17,153,38,1,0
17,154,4,1,76
17,155,4,1,77
17,156,37,1,0
17,157,29,1,0
17,158,36,1,0
17,159,39,1,0
17,160,68,1,0
19,161,24,1,3
19,162,24,1,8
19,163,38,1,0
19,164,5,1,27
19,165,37,1,0
19,166,29,1,0
19,167,49,1,0
19,168,36,1,0
19,169,39,1,0
19,170,68,1,0
20,171,24,1,3
20,172,24,1,8
20,173,38,1,0
20,174,5,1,27
20,175,37,1,0
20,176,29,1,0
20,177,49,1,0
20,178,36,1,0
20,179,39,1,0
20,180,68,1,0
207,181,24,1,3
207,182,24,1,8
207,183,38,1,0
207,184,5,1,27
207,185,37,1,0
207,186,29,1,0
207,187,49,1,0
207,188,36,1,0
207,189,39,1,0
207,190,68,1,0
31,191,24,1,3
31,192,24,1,8
31,193,38,1,0
31,194,5,1,68
31,195,37,1,0
31,196,29,1,0
31,197,49,1,0
31,198,36,1,0
31,199,39,1,0
31,200,68,1,0
32,201,24,1,3
32,202,24,1,8
32,203,38,1,0
32,204,5,1,68
32,205,37,1,0
32,206,29,1,0
32,207,49,1,0
32,208,36,1,0
32,209,39,1,0
31,210,68,1,0
349,211,24,1,58
349,212,24,1,3
349,213,24,1,8
349,214,38,1,0
349,215,5,1,59
349,216,5,1,60
349,217,37,1,0
349,218,29,1,0
349,219,39,1,0
349,220,68,1,0
84,221,24,1,61
84,222,24,1,3
84,223,24,1,8
84,224,38,1,0
84,225,5,1,62
84,226,111,1,0
84,227,37,1,0
84,228,29,1,0
84,229,39,1,0
84,230,68,1,0
85,231,24,1,61
85,232,24,1,3
85,233,24,1,8
85,234,38,1,0
85,235,5,1,62
85,236,111,1,0
85,237,37,1,0
85,238,29,1,0
85,239,39,1,0
85,240,68,1,0
341,241,24,1,61
341,242,24,1,3
341,243,24,1,8
341,244,38,1,0
341,245,5,1,62
341,246,111,1,0
341,247,37,1,0
341,248,29,1,0
341,249,39,1,0
341,250,68,1,0
10,251,24,1,30
10,252,24,1,3
10,253,24,1,8
10,254,38,1,0
10,255,37,1,0
10,256,29,1,0
10,257,49,1,0
10,258,36,1,0
10,259,39,1,0
10,260,68,1,0
41,261,24,1,3
41,262,24,1,8
41,263,38,1,0
41,264,5,1,38
41,265,37,1,0
41,266,29,1,0
41,267,49,1,0
41,268,36,1,0
41,269,39,1,0
41,270,68,1,3
308,271,24,1,55
308,272,24,1,3
308,273,24,1,8
308,274,38,1,0
308,275,37,1,0
308,276,29,1,0
308,277,49,1,0
308,278,36,1,0
308,279,39,1,0
308,280,68,1,0
67,281,24,1,3
67,282,24,1,8
67,283,38,1,0
67,284,5,1,40
67,285,5,1,57
67,286,37,1,0
67,287,29,1,0
67,288,36,1,0
67,289,39,1,0
67,290,68,1,0
350,291,6,1,66
350,292,6,1,69
350,293,6,1,71
350,294,6,1,79
350,295,24,1,3
350,296,24,1,8
350,297,38,1,0
350,298,37,1,0
350,299,39,1,0
350,300,68,1,0
53,301,24,1,67
53,302,24,1,3
53,303,24,1,8
53,304,38,1,0
53,305,5,1,73
53,306,5,1,83
53,307,37,1,0
53,308,29,1,0
53,309,39,1,0
53,310,68,1,0
54,311,24,1,72
54,312,24,1,3
54,313,24,1,8
54,314,38,1,0
54,315,5,1,73
54,316,5,1,83
54,317,37,1,0
54,318,29,1,0
54,319,39,1,0
54,320,68,1,0
56,321,24,1,3
56,322,24,1,8
56,323,38,1,0
56,324,113,1,0
56,325,37,1,0
56,326,29,1,0
56,327,49,1,0
56,328,36,1,0
56,329,39,1,0
56,330,68,1,0
189,331,24,1,3
189,332,24,1,8
189,333,38,1,0
189,334,5,1,84
189,335,37,1,0
189,336,29,1,0
189,337,49,1,0
189,338,36,1,0
189,339,39,1,0
189,340,68,1,0
39,341,54,1,0
39,342,24,1,3
39,343,24,1,8
39,344,38,1,0
39,345,37,1,0
39,346,29,1,0
39,347,49,1,0
39,348,36,1,0
39,349,39,1,0
39,350,68,1,0
390,351,54,1,0
390,352,24,1,3
390,353,24,1,8
390,354,38,1,0
390,355,37,1,0
390,356,29,1,0
390,357,49,1,0
390,358,36,1,0
390,359,39,1,0
390,360,68,1,0
2138,361,54,1,0
2138,362,24,1,3
2138,363,24,1,8
2138,364,38,1,0
2138,365,37,1,0
2138,366,29,1,0
2138,367,49,1,0
2138,368,36,1,0
2138,369,39,1,0
2138,370,68,1,0
1007,371,24,1,59
1007,372,24,1,3
1007,373,24,1,8
1007,374,24,1,59
1007,375,38,1,0
1007,376,37,1,0
1007,377,29,1,0
1007,378,24,1,59
1007,379,39,1,0
1007,380,68,1,0
201,381,35,1,0
201,382,24,1,3
201,383,24,1,8
201,384,35,1,0
201,385,38,1,0
201,386,37,1,0
201,387,29,1,0
201,388,35,1,0
201,389,39,1,0
201,390,68,1,0
