offset6x,offset5y,offset10x,offset2x,offset2y,offset6y,offset7x,offset3x,offset8x,offset10y,offset3y,offset4x,offset7y,offset0x,offset8y,offset9x,offset5x,offset0y,offset1x,offset4y,offset9y,offset1y,playerid35,defmentality,playerinstruction10_1,playerinstruction3_1,playerid0,playerinstruction1_1,playerid9,customsub0in,playerid36,position10,rightfreekicktakerid,playerinstruction9_2,playerid44,playerid27,playerinstruction9_1,playerinstruction4_2,playerid1,position6,playerinstruction1_2,playerinstruction5_2,playerid38,playerid31,playerid7,playerid20,playerid39,position8,playerid42,playerid48,playerid13,playerid6,customsub0out,playerinstruction7_1,playerid37,buspassing,playerid5,sourceformationid,playerid45,playerinstruction0_2,playerid8,playerid14,playerid46,defteamwidth,playerinstruction8_1,longkicktakerid,playerid12,playerid2,playerinstruction5_1,position5,busdribbling,rightcornerkicktakerid,playerid30,formationaudioid,customsub1in,playerid15,playerid41,playerinstruction6_1,defaggression,playerid47,playerid23,playerid16,playerinstruction6_2,tacticid,customsub1out,playerinstruction10_2,leftcornerkicktakerid,playerinstruction3_2,playerid18,playerid4,playerid40,playerid49,customsub2out,teamid,position2,playerinstruction4_1,playerid22,playerid24,playerid11,playerinstruction8_2,customsub2in,playerid3,captainid,playerinstruction0_1,playerid51,leftfreekicktakerid,position4,playerid25,playerinstruction2_2,playerid33,buspositioning,playerid19,playerid17,ccpositioning,busbuildupspeed,ccshooting,position3,playerid26,ccpassing,playerid50,playerid34,formationfullnameid,penaltytakerid,playerinstruction7_2,playerid32,freekicktakerid,defdefenderline,playerid28,playerid21,playerid10,position0,position9,playerid43,playerid29,position7,cccrossing,position1,playerinstruction2_1
1059481190.0,1049414861.0,1033476506.0,1059900621.0,1041865114.0,1057174323.0,1051931443.0,1056964608.0,1064094925.0,1062417203.0,1041865114.0,1051092582.0,1057174323.0,1056964608.0,1062417203.0,1056947831.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063256064.0,1049414861.0,200841,67,2263040,16,206652,4,228687,-1,199354,27,228687,8,-1,225783,268730368,8,203551,13,8,8,181872,213418,213051,282412,178509,23,-1,-1,189461,207566,-1,134219792,189271,30,205988,30,-1,0,227055,214997,-1,33,2263040,228687,212462,281619,4,8,47,280386,216699,3,-1,202371,155862,134220288,53,-1,237169,186561,8,0,-1,8,227055,8,152729,186547,176635,-1,-1,1,4,16,239986,232610,176550,8,-1,192227,280386,0,-1,228687,6,231856,8,203746,0,165229,184941,1,29,41,5,228509,33,-1,202811,-1,228687,8,210324,184941,0,225782,282400,280386,0,25,-1,225775,15,53,2,16
1059481190.0,1051512013.0,1033476506.0,1059900621.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1064094925.0,1062417203.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1062417203.0,1056947831.0,1056964608.0,1016028201.0,1064094925.0,1045220557.0,1063256064.0,1045220557.0,-1,49,2394112,16,211515,8,215374,-1,-1,27,280117,8,-1,283118,42991616,8,231205,13,8,8,-1,-1,206517,225450,-1,23,-1,-1,175932,280117,-1,134220032,-1,52,281232,9,-1,0,200630,228148,-1,49,2394112,280117,281863,280493,80,10,47,206517,284410,6,-1,280403,-1,134220032,31,-1,192317,186783,8,0,-1,8,280117,8,181483,283959,-1,-1,-1,2,4,8,192320,281366,162054,8,-1,182168,206517,0,-1,280117,7,280738,8,-1,0,193849,155979,0,50,49,6,186116,31,-1,-1,7,215374,8,-1,193849,0,283702,216485,280465,0,25,-1,284546,15,47,3,16
1059481190.0,1058432614.0,1056947831.0,1059900621.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1033476506.0,1063256064.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1058432614.0,1056964608.0,1064094925.0,1016028201.0,1064094925.0,1045220557.0,1059690906.0,1045220557.0,-1,46,294920,16,183347,8,211098,-1,-1,25,211098,8,-1,-1,134252544,8,283009,13,8,8,-1,-1,200806,234259,-1,16,-1,-1,221106,186135,-1,134219792,-1,50,207429,18,-1,0,226162,228926,-1,32,136873984,211098,178417,161943,136611840,12,49,211098,-1,14,-1,173660,-1,134219792,33,-1,281864,283536,8,0,-1,8,280739,8,238336,203398,-1,-1,-1,3,4,8,283119,-1,220901,8,-1,231540,186135,0,-1,211098,7,-1,4,-1,0,234319,221349,0,52,32,6,-1,33,-1,-1,18,280739,8,-1,178417,0,-1,233646,280739,0,18,-1,-1,15,79,3,16
1059481190.0,1049414861.0,1053273620.0,1059900621.0,1041865114.0,1057174323.0,1056964608.0,1056964608.0,1051931443.0,1063256064.0,1041865114.0,1051092582.0,1057174323.0,1056964608.0,1057174323.0,1058642330.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063256064.0,1049414861.0,183449,60,100696064,16,189024,4,184707,-1,-1,26,281179,8,-1,236337,1343488,8,170078,13,8,8,-1,283785,203060,156894,-1,15,-1,-1,281865,184482,-1,134220032,-1,73,185265,31,-1,0,209006,213095,-1,43,134220032,281179,280740,282366,8,8,33,281179,195124,4,-1,178218,-1,134220032,61,-1,177495,187150,8,0,-1,8,281179,8,163621,182209,-1,-1,-1,4,4,16,183789,240325,173531,8,-1,210110,203060,0,-1,281179,6,240323,8,283120,0,184288,163828,0,70,76,5,240322,69,-1,282589,-1,184707,8,283582,177389,0,235785,239013,281179,0,24,-1,203537,14,73,2,16
1059481190.0,1049414861.0,1033476506.0,1060511311.0,1041865114.0,1057174323.0,1051931443.0,1056863945.0,1064094925.0,1062417203.0,1043005964.0,1049871201.0,1057174323.0,1056964608.0,1062417203.0,1056947831.0,1033476506.0,1016028201.0,1064094925.0,1042153682.0,1063256064.0,1049414861.0,198141,67,2263040,16,192119,4,201153,-1,189505,27,183277,8,-1,225441,33587208,8,227928,13,8,8,-1,207624,215914,284353,-1,23,-1,-1,223848,219809,-1,134220032,172962,38,280048,30,-1,0,193165,228941,-1,51,2263040,183277,192638,282409,4,8,50,193165,210537,3,-1,280032,-1,134220032,51,-1,282542,204970,8,0,-1,8,193165,8,162895,225508,-1,-1,-1,5,4,16,282711,232757,195356,8,-1,207865,207865,0,-1,183277,6,232756,8,201122,0,179944,283593,0,36,41,5,230774,31,-1,200138,-1,183277,8,204847,192638,0,213665,283635,183277,0,25,-1,213490,15,41,2,16
1059481190.0,1049414861.0,1053273620.0,1060529766.0,1041751029.0,1057174323.0,1051931443.0,1056964608.0,1056964608.0,1063256064.0,1041865114.0,1049834291.0,1057174323.0,1056964608.0,1059690906.0,1058642330.0,1033476506.0,1016028201.0,1064094925.0,1042086573.0,1063256064.0,1049414861.0,208339,67,294920,16,204935,4,213135,-1,206427,26,205175,8,-1,227854,268730368,8,282211,13,8,8,200741,221479,188253,193474,198946,18,184484,-1,211354,177358,-1,134220032,200765,40,210455,29,-1,0,199189,228717,-1,51,43008,205175,226491,199667,4,8,25,177358,224263,4,-1,192789,193470,134220032,51,-1,230899,203483,8,0,-1,8,282211,8,198688,207599,195668,-1,-1,7,4,16,235701,230005,231691,8,-1,201862,188253,0,-1,205175,6,229605,8,216790,0,216380,186146,0,36,41,5,229348,31,-1,215598,-1,205175,8,216791,54050,0,226401,54050,205175,0,24,163824,224265,15,41,2,16
1051931443.0,1051512013.0,1056947831.0,1059900621.0,1041865114.0,1051512013.0,1064052982.0,1051092582.0,1036831949.0,1063256064.0,1041865114.0,1033476506.0,1058558444.0,1056964608.0,1058657429.0,1056964608.0,1059481190.0,1016028201.0,1064178811.0,1046898278.0,1059690906.0,1046448649.0,-1,43,67403776,16,101880,4,198143,-1,-1,25,198143,8,-1,280470,134252544,8,183940,11,8,8,-1,283121,205360,209484,-1,16,-1,-1,233943,280741,-1,136595456,-1,52,197953,4,-1,0,281866,206147,-1,44,136480768,205360,206006,194201,80,9,43,198143,284548,14,-1,203399,-1,320,39,-1,239305,224097,8,0,-1,8,280741,8,169710,182178,-1,-1,-1,8,4,4,229091,226106,192955,8,-1,189456,189456,0,-1,198143,7,226105,8,280841,0,210404,197439,0,51,44,6,219660,39,-1,218658,3,198143,8,283112,179591,0,189278,219551,239795,0,18,-1,282401,12,43,3,16
1059481190.0,1051512013.0,1033476506.0,1059900621.0,1041865114.0,1057174323.0,1051931443.0,1051092582.0,1064094925.0,1062417203.0,1041865114.0,1033476506.0,1057174323.0,1056964608.0,1062417203.0,1056947831.0,1056964608.0,1016028201.0,1064094925.0,1045220557.0,1063256064.0,1045220557.0,224021,67,1345536,16,203042,4,200454,-1,220940,27,189242,8,-1,280282,8650760,8,231281,13,8,8,180819,236246,212814,199715,162347,23,-1,-1,209331,181291,-1,10496,216299,53,224019,9,-1,0,208722,225539,-1,66,1345536,189242,172879,282969,320,10,76,189242,236248,6,-1,183285,232656,134220032,66,-1,195086,207410,8,0,-1,8,189242,8,282756,209620,280013,-1,-1,9,4,4,203890,171833,282247,8,-1,281615,181291,0,-1,189242,7,194022,8,225100,0,225410,195093,1,49,45,6,184585,50,-1,224520,7,200454,8,232099,189242,0,240346,207998,189242,0,25,-1,237662,15,56,3,16
1059648963.0,1049414861.0,1053273620.0,1059900621.0,1041865114.0,1057803469.0,1056964608.0,1056964608.0,1051595899.0,1063256064.0,1041865114.0,1051092582.0,1057174323.0,1056964608.0,1057803469.0,1058642330.0,1033476506.0,1016028201.0,1064094925.0,1041865114.0,1063256064.0,1049414861.0,216325,60,294920,16,210257,4,230666,-1,216321,26,230666,8,178603,227813,294920,8,201042,13,8,8,206654,220198,236499,222492,198710,15,173771,-1,192985,135507,-1,134219792,211593,28,229148,31,-1,0,177610,208596,-1,66,10752,230666,210514,184344,4,8,50,236499,223963,4,-1,282043,174543,10752,52,-1,237595,218667,8,0,-1,8,236499,8,204525,203574,188152,-1,-1,10,4,16,237692,233165,150724,8,-1,192366,184344,0,-1,230666,6,233164,8,220182,1,228813,229670,1,30,33,5,231410,37,-1,216755,-1,230666,8,220185,192985,0,223978,20289,211048,0,24,139720,223977,14,36,2,16
1051931443.0,1051512013.0,1056947831.0,1059900621.0,1041865114.0,1051512013.0,1064094925.0,1051092582.0,1033476506.0,1063256064.0,1041865114.0,1033476506.0,1058432614.0,1056964608.0,1058432614.0,1056964608.0,1059481190.0,1016028201.0,1064094925.0,1045220557.0,1059690906.0,1045220557.0,213642,66,67403776,16,193080,4,195864,-1,212710,25,195864,8,-1,237698,43008,8,225402,11,8,8,189881,233306,192883,280017,173373,16,-1,-1,205192,197242,-1,138708992,191032,49,210008,4,-1,0,211300,280199,-1,52,135563264,195864,221660,205600,320,9,52,195864,237238,14,-1,194957,-1,320,52,-1,191740,217877,8,0,-1,8,210008,8,232270,201510,-1,-1,-1,11,4,8,178088,283475,281306,8,-1,193469,193469,0,-1,195864,7,280562,8,215699,0,231485,165153,1,50,31,6,237699,36,-1,213696,3,192505,8,225557,195864,0,237310,235634,192505,0,18,-1,237309,12,62,3,16
