offset6x,offset5y,offset10x,offset2x,defenders,offset2y,offset6y,offset7x,offset3x,offset8x,offset10y,offset3y,offset4x,offset7y,offset0x,offset8y,attackers,offset9x,midfielders,offset5x,offset0y,offset1x,offset4y,offset9y,offset1y,formationname,playerinstruction10_1,playerinstruction3_1,playerinstruction1_1,position10,playerinstruction9_2,playerinstruction9_1,playerinstruction4_2,position6,playerinstruction1_2,playerinstruction5_2,offensiverating,position8,playerinstruction7_1,playerinstruction0_2,playerinstruction8_1,playerinstruction5_1,position5,formationaudioid,playerinstruction6_1,playerinstruction6_2,playerinstruction10_2,playerinstruction3_2,teamid,position2,playerinstruction4_1,formationid,playerinstruction8_2,playerinstruction0_1,relativeformationid,position4,playerinstruction2_2,position3,formationfullnameid,playerinstruction7_2,position0,position9,position7,position1,playerinstruction2_1
1064514355.0,1050924810.0,1053273620.0,1059481190.0,1083179008.0,1041865114.0,1057971241.0,1056964608.0,1051931443.0,1028443341.0,1063256064.0,1041865114.0,1029785518.0,1057803469.0,1056964608.0,1057999762.0,1073741824.0,1058642330.0,1080033280.0,1056964608.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-1-3-2,294920,16,8,26,8,294920,8,12,8,8,2,16,134220032,0,2394112,320,10,12,2394112,8,8,8,-1,4,8,1,8,0,1,7,8,6,-1,8,0,24,14,3,16
1064514355.0,1052602532.0,1056947831.0,1059481190.0,1083179008.0,1041865114.0,1058781580.0,1059481190.0,1051931443.0,1051931443.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1057174323.0,1065353216.0,1028443341.0,1083179008.0,1056964608.0,1014350479.0,1064430469.0,1046898278.0,1058781580.0,1046898278.0,4-1-4-1,294920,16,8,25,8,2394112,8,12,8,8,2,15,134220032,0,134220032,320,10,15,2394112,8,8,8,-1,4,8,2,8,0,2,7,8,6,-1,8,0,16,13,3,16
1051931443.0,1051512013.0,1056947831.0,1059481190.0,1084227584.0,1041865114.0,1051512013.0,1062836634.0,1051931443.0,1056964608.0,1063256064.0,1041865114.0,1029785518.0,1059648963.0,1056964608.0,1059648963.0,1065353216.0,1041865114.0,1082130432.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1059648963.0,1046898278.0,4-2-3-1,294920,16,8,25,8,134252544,8,11,8,8,2,18,134252544,0,134252544,320,9,14,320,8,8,8,-1,4,8,3,8,0,3,7,8,6,16,8,0,19,17,3,16
1051931443.0,1051512013.0,1056947831.0,1059481190.0,1084227584.0,1041865114.0,1051512013.0,1063843267.0,1051931443.0,1035489772.0,1063256064.0,1041865114.0,1029785518.0,1057971241.0,1056964608.0,1057971241.0,1065353216.0,1056964608.0,1082130432.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1059648963.0,1046898278.0,4-2-3-1,294920,16,8,25,8,134252544,8,11,8,8,2,16,2394112,0,2394112,320,9,14,320,8,8,8,-1,4,8,4,8,0,4,7,8,6,3,8,0,18,12,3,16
1051931443.0,1057174323.0,1036831949.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1063675494.0,1051931443.0,1058642330.0,1062543032.0,1041865114.0,1029785518.0,1062543032.0,1056964608.0,1063256064.0,1082130432.0,1053273620.0,1073741824.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-2-4,2394112,16,8,27,8,294920,8,15,8,8,4,24,2394112,0,294920,134220032,13,2,134220032,8,8,8,-1,4,8,5,8,0,5,7,8,6,-1,8,0,26,23,3,16
1056964608.0,1057174323.0,1053273620.0,1059481190.0,1082130432.0,1041865114.0,1056125747.0,1051931443.0,1051931443.0,1056964608.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1059984507.0,1075838976.0,1058642330.0,1080033280.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-3-1-2,294920,16,8,26,8,294920,8,14,8,8,2,18,134220032,0,134252544,134220032,13,9,134220032,8,8,8,-1,4,8,6,8,0,6,7,8,6,-1,8,0,24,15,3,16
1056964608.0,1057174323.0,1056947831.0,1059481190.0,1082130432.0,1041865114.0,1056125747.0,1051931443.0,1051931443.0,1061158912.0,1063256064.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1061494456.0,1075838976.0,1048576000.0,1080033280.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1061494456.0,1046898278.0,4-3-2-1,294920,16,8,25,8,294920,8,14,8,8,2,20,134220032,0,294920,134220032,13,8,134220032,8,8,8,-1,4,8,7,8,0,7,7,8,6,20,8,0,22,15,3,16
1056964608.0,1057174323.0,1036831949.0,1059481190.0,1082130432.0,1041865114.0,1056125747.0,1051931443.0,1051931443.0,1063675494.0,1062836634.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1062836634.0,1077936128.0,1056947831.0,1077936128.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-3-3,2394112,16,8,27,8,294920,8,14,8,8,3,23,134220032,0,2394112,134220032,13,6,134220032,8,8,8,-1,4,8,8,8,0,8,7,8,6,17,8,0,25,15,3,16
1059481190.0,1052770304.0,1033812050.0,1059481190.0,1082130432.0,1041865114.0,1057174323.0,1051931443.0,1051931443.0,1064220754.0,1062836634.0,1041865114.0,1029785518.0,1057174323.0,1056964608.0,1062836634.0,1077936128.0,1056947831.0,1077936128.0,1056964608.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-3-3,2394112,16,8,27,8,294920,8,13,8,8,3,23,134220032,0,2394112,320,10,6,134220032,8,8,8,-1,4,8,9,8,0,9,7,8,6,7,8,0,25,15,3,16
1051931443.0,1051512013.0,1036831949.0,1059481190.0,1082130432.0,1042200658.0,1051512013.0,1056964608.0,1051931443.0,1063675494.0,1062836634.0,1041865114.0,1029785518.0,1057467924.0,1056964608.0,1062836634.0,1077936128.0,1056947831.0,1077936128.0,1059481190.0,1014350479.0,1064430469.0,1046898278.0,1063256064.0,1046898278.0,4-3-3,2394112,16,8,27,8,294920,8,11,8,8,3,23,134220032,0,2394112,320,9,6,320,8,8,8,-1,4,8,10,8,0,10,7,8,6,5,8,0,25,14,3,16
