firstname,surname,haircolorcode,facialhairtypecode,hairtypecode,cardstrictness,shoecolorcode2,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,sockheightcode,socklengthcode,weight,gender,eyebrowcode,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,skintypecode,isreal,headvariation,skintonecode,shortstyle,refereeid,nationalitycode,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Manuel Rui,Barbosa,1,0,16,1,0,1521,1,175,7,0,140357,0,0,65,0,1,3,0,1,0,1,0,0,6,0,29,54,1,0,0,1,0
Christer,Søndergaard,3,0,111,1,31,8,1,169,1,130,147554,0,0,62,0,0,5,0,0,0,2,0,0,3,0,41,13,0,30,0,8,0
Pim,Ploegmakers,9,4,112,1,31,1517,1,166,10,130,145396,0,0,75,0,0,2,0,1,0,2,0,0,2,0,42,34,0,30,0,9,2
Mehmet,Yıldıraz,1,0,150,1,31,1516,1,166,76,130,147532,0,0,73,0,0,3,0,1,0,2,0,0,4,0,52,48,0,30,0,9,0
Valente,Larrazábal,1,0,77,1,31,4003,1,178,53,130,140099,0,0,69,0,0,3,0,1,0,2,0,0,4,0,64,45,0,30,0,1,0
Ingvar,Tollefsen,6,0,104,1,31,2507,1,186,41,130,141361,0,1,77,0,1,1,1,1,0,0,0,0,2,0,67,36,0,30,0,5,3
Rainier,Vannier,6,6,54,1,31,4001,1,173,16,130,144545,0,0,63,0,0,2,0,1,0,0,0,0,2,0,69,18,0,30,0,1,0
Hans,de Noteboom,1,6,90,1,31,4001,1,185,4,130,143870,0,0,88,0,0,2,0,1,0,2,0,0,2,0,70,34,0,30,0,6,0
Leonardo,San Milano,3,0,100,1,31,1527,1,176,31,130,144471,0,0,65,0,0,3,0,1,0,0,0,0,4,0,72,27,0,30,0,1,0
Alessandro,Vecchioccina,1,0,22,1,31,2508,1,186,32,130,141882,0,0,80,0,0,3,0,1,0,2,0,0,2,0,75,27,0,30,0,5,0
Sung-Kwan,Cho,1,0,59,1,31,505,1,176,83,130,144075,0,0,69,0,0,3,0,1,0,1,0,0,4,0,86,167,0,30,0,2,0
Zachariasz,Krzywicki,0,0,75,1,31,2012,1,172,66,130,145720,0,0,75,0,0,1,0,1,0,2,0,0,2,0,99,37,0,30,0,3,1
Sergey,Piputkin,6,0,75,1,31,4003,1,179,67,130,144843,0,0,73,0,0,5,0,1,0,0,0,0,2,0,101,40,0,30,0,2,3
