shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,numberfonttype,teamcolortertb,jerseynumbercolorterg,shortsnumbercolorprimb,jerseynamefonttype,jerseynamelayouttype,jerseynumbercolorterr,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,shortsnumberfonttype,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,teamkitid,teamcolorprimpercent,teamcolorsecpercent,year,teamtechid,isembargoed,hasadvertisingkit,dlc,teamcolortertpercent,shortstyle,jerseyfit
0,0,58,0,0,0,0,0,0,235,0,0,1,231,0,0,0,0,0,0,0,1,235,0,58,0,231,0,0,0,58,0,0,0,235,0,1,0,0,0,231,0,0,0,0,0,0,7708,77,15,0,0,0,0,0,75,0,0
1,32,228,0,0,12,220,220,220,18,220,200,95,226,12,32,18,1,12,220,0,1,180,220,228,220,226,12,0,220,228,18,220,220,28,0,16,12,220,12,226,220,0,0,-1,0,0,1344,66,31,0,1,0,0,0,87,0,1
1,220,124,0,0,12,220,220,12,144,12,220,95,96,12,220,18,1,12,220,0,1,0,220,70,12,37,12,0,12,43,0,12,220,186,0,95,12,220,12,53,12,0,1,-1,0,0,1345,55,39,0,1,0,0,0,87,0,1
1,220,62,0,0,12,220,220,12,54,12,220,95,54,12,220,18,1,12,220,0,1,16,220,54,12,13,12,0,12,16,0,12,220,62,0,95,12,220,12,47,12,0,2,-1,0,0,1346,95,95,0,1,0,0,0,87,0,1
1,220,31,0,0,12,220,220,12,32,12,220,95,23,12,220,18,1,12,220,0,1,34,220,32,12,23,12,0,12,34,18,12,220,31,0,95,12,220,12,23,12,0,3,-1,0,0,1347,95,95,0,1,0,0,0,97,0,1
1,12,213,0,0,12,220,220,220,13,220,12,23,226,12,12,49,1,12,220,0,1,122,220,161,220,226,12,0,220,111,19,220,220,48,0,89,12,220,12,226,220,0,0,-1,0,0,1348,73,22,0,2,0,1,0,88,0,0
1,220,46,0,0,12,220,220,12,30,12,220,23,26,12,220,49,1,12,220,0,1,30,220,12,12,26,12,0,12,120,19,12,220,30,0,89,12,220,12,26,12,0,1,-1,0,0,1349,85,11,0,2,0,1,0,88,0,0
1,12,32,0,0,220,12,12,220,224,220,12,23,59,220,12,49,1,220,12,0,1,229,12,32,220,226,220,0,220,32,7,220,12,70,0,89,220,12,220,220,220,0,2,-1,0,0,1765,89,8,0,2,0,1,0,99,0,0
1,8,141,0,0,220,194,8,220,229,220,194,23,226,220,15,49,1,220,15,0,1,229,29,82,220,226,220,0,220,15,0,220,200,229,0,89,220,49,220,226,220,0,0,-1,0,0,1350,49,47,0,3,0,1,0,98,0,0
1,220,45,0,0,12,220,220,12,30,220,220,23,38,220,220,49,1,220,220,0,1,30,220,35,12,192,12,0,220,200,0,220,220,30,0,89,12,220,220,30,12,0,1,-1,0,0,1351,85,12,0,3,0,1,0,95,0,0
