leaguegoals,isamongtopscorers,yellows,isamongtopscorersinteam,jerseynumber,position,artificialkey,teamid,leaguegoalsprevmatch,injury,leagueappearances,istopscorer,leaguegoalsprevthreematches,playerid,form,reds
0,0,0,0,1,0,0,269,0,0,0,0,0,201269,3,0
0,0,0,0,13,3,1,269,0,0,0,0,0,198455,3,0
0,0,0,0,23,4,2,269,0,0,0,0,0,198479,3,0
0,0,0,0,4,6,3,269,0,0,0,0,0,205451,3,0
0,0,0,0,27,7,4,269,0,0,0,0,0,223861,3,0
0,0,0,0,19,10,5,269,0,0,0,0,0,210697,3,0
0,0,0,0,8,13,6,269,0,0,0,0,0,221924,3,0
4,1,0,1,21,15,7,269,0,0,0,0,0,207916,3,0
0,0,0,0,10,18,8,269,0,0,0,0,0,210021,3,0
2,0,0,1,9,24,9,269,0,0,0,0,0,190362,3,0
2,0,0,1,10,28,10,36,0,0,0,0,0,229154,3,0
1,0,0,1,12,28,11,269,0,0,0,0,0,207559,3,0
2,0,0,1,16,29,12,169,0,0,0,0,0,212238,3,0
0,0,0,0,21,7,13,112172,0,0,0,0,0,207897,3,0
0,0,0,0,6,28,14,269,0,0,0,0,0,208597,3,0
0,0,0,0,16,28,15,269,0,0,0,0,0,222485,3,0
0,0,0,0,99,29,24487,111592,0,0,0,0,0,283809,0,0
0,0,0,0,26,28,17,269,0,0,0,0,0,239748,3,0
1,0,0,1,14,28,18,269,0,0,0,0,0,215684,3,0
0,0,0,0,36,29,19,269,0,0,0,0,0,238755,3,0
0,0,0,0,28,29,20,269,0,0,0,0,0,228419,3,0
0,0,0,0,5,29,21,269,0,0,0,0,0,237632,3,0
0,0,0,0,24,29,22,269,0,0,0,0,0,236445,3,0
0,0,0,0,40,29,23,269,0,0,0,0,0,236446,3,0
0,0,0,0,34,29,24,269,0,0,0,0,0,238753,3,0
0,0,0,0,25,29,25,269,0,0,0,0,0,238932,3,0
0,0,0,0,1,0,26,270,0,0,0,0,0,193139,3,0
1,0,0,1,29,29,27,15009,0,0,0,0,0,213835,3,0
0,0,0,0,13,29,22851,113057,0,0,0,0,0,282360,0,0
0,0,0,0,4,6,29,270,0,0,0,0,0,193594,3,0
0,0,0,0,15,7,30,270,0,0,0,0,0,228362,3,0
1,0,0,1,29,12,31,270,0,0,0,0,1,215449,3,0
0,0,0,0,2,13,32,270,0,0,0,0,0,234521,3,0
0,0,0,0,17,15,33,270,0,0,0,0,0,194569,3,0
0,0,0,0,8,29,34,81,0,0,0,0,0,234522,3,0
2,0,0,1,29,29,35,111138,0,0,0,0,2,203811,3,0
1,0,0,1,17,26,36,269,0,0,0,0,0,223933,3,0
0,0,0,0,17,29,24188,819,0,0,0,0,0,283510,0,0
0,0,0,0,32,29,24178,269,0,0,0,0,0,283500,0,0
0,0,0,0,5,28,39,270,0,0,0,0,0,201433,3,0
0,0,0,0,28,28,40,270,0,0,0,0,0,227520,3,0
0,0,0,0,16,28,41,270,0,0,0,0,0,186752,3,0
0,0,0,0,18,28,42,270,0,0,0,0,0,210891,3,0
0,0,0,0,21,28,43,270,0,0,0,0,0,235636,3,0
1,0,0,1,20,29,44,270,0,0,0,0,0,204301,3,0
0,0,0,0,30,29,45,270,0,0,0,0,0,234658,3,0
0,0,0,0,11,25,46,270,0,0,0,0,0,199873,3,0
0,0,0,0,24,29,47,270,0,0,0,0,0,234659,3,0
0,0,0,0,22,29,48,270,0,0,0,0,0,239983,3,0
0,0,0,0,26,0,49,271,0,0,0,0,0,234735,3,0
0,0,0,0,3,28,50,100424,0,0,0,0,0,229657,3,0
0,0,0,0,15,4,51,271,0,0,0,0,0,151743,3,0
0,0,0,0,34,29,52,100646,0,0,0,0,0,172520,3,0
0,0,0,0,20,7,53,271,0,0,0,0,0,210647,3,0
0,0,0,0,8,18,22837,820,0,0,0,0,0,282346,0,0
0,0,0,0,8,13,55,271,0,0,0,0,0,199002,3,0
0,0,0,0,6,15,56,271,0,0,0,0,0,190474,3,0
0,0,0,0,7,16,57,271,0,0,0,0,0,201271,3,0
0,0,0,0,11,24,58,271,0,0,0,0,0,191154,3,0
0,0,0,0,14,21,22853,270,0,0,0,0,0,282362,0,0
1,0,0,1,19,28,60,271,0,0,0,0,0,236474,3,0
0,0,0,0,4,28,61,271,0,0,0,0,0,205072,3,0
0,0,0,0,18,28,62,271,0,0,0,0,0,179646,3,0
0,0,0,0,3,28,63,271,0,0,0,0,0,193688,3,0
0,0,0,0,1,28,64,271,0,0,0,0,0,120280,3,0
0,0,0,0,33,28,65,252,0,0,0,0,0,213871,3,0
0,0,0,0,34,28,66,271,0,0,0,0,0,235508,3,0
0,0,0,0,5,29,67,271,0,0,0,0,0,205533,3,0
0,0,0,0,14,29,68,271,0,0,0,0,0,232711,3,0
0,0,0,0,27,29,69,271,0,0,0,0,0,223163,3,0
0,0,0,0,24,29,25057,112425,0,0,0,0,0,284379,0,0
0,0,0,0,33,29,71,271,0,0,0,0,0,239086,3,0
0,0,0,0,37,29,72,271,0,0,0,0,0,237930,3,0
0,0,0,0,22,29,73,271,0,0,0,0,0,234096,3,0
0,0,0,0,21,29,74,271,0,0,0,0,0,236783,3,0
0,0,0,0,13,0,75,272,0,0,0,0,0,183475,3,0
0,0,0,0,19,3,76,272,0,0,0,0,0,212170,3,0
0,0,0,0,37,29,77,1788,0,0,0,0,0,231828,3,0
