assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,adboardid,teamcolor3b,defmentality,powid,rightfreekicktakerid,domesticprestige,genericint2,jerseytype,popularity,teamstadiumcapacity,iscompetitionscarfenabled,cityid,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,trait1vequal,suittypeid,numtransfersin,stanchionflamethrower,captainid,personalityid,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
1,41,1,204,2248382,255,255,1886,204,1,6,51,1,4,255,Arsenal,2,1,67,-1,228687,9,-1,2,9,60260,0,285,18,0,82,83,82,86,0,30,80,80,0,0,33,228687,0,131730,47,280386,1,13,53,2,227055,4,1,131730,0,0,0,280386,0,228687,13,0,0,1,29,90717000,41,83,33,3,0,228687,184941,2,0,9,353,0,84,53,263314,86
2,45,24,97,262215,211,153,1874,97,53,3,52,24,1,177,Aston Villa,2,53,49,-1,280117,7,-1,2,7,42785,2,54,109,2,73,73,73,71,-1,52,74,74,2,0,49,280117,2,1056902,47,206517,1,7,31,2,280117,5,2,1056902,2,0,0,206517,0,280117,7,0,0,0,50,14000000,49,73,31,7,0,215374,193849,2,0,4,353,0,77,47,1056902,71
3,45,76,1,7699,255,255,1875,1,182,3,53,76,3,255,Blackburn Rovers,2,202,46,-1,211098,7,-1,2,5,31154,0,55,1796,0,67,66,67,68,-2,50,65,68,0,0,32,211098,1,1066304,49,211098,1,6,33,2,280739,3,3,1073472,0,0,0,186135,0,211098,3,0,0,0,52,3000000,32,67,33,4,0,280739,178417,2,0,2,352,0,69,79,545088,68
4,45,255,255,8226,63,8,1874,255,255,3,53,255,3,21,Bolton,2,255,60,-1,281179,10,-1,2,4,28063,2,61,3,2,67,67,67,68,-2,73,67,67,2,0,43,281179,1,86024,33,281179,0,4,61,2,281179,6,4,86024,2,0,0,203060,1,281179,0,0,0,0,70,2500000,76,67,69,8,0,184707,177389,2,0,1,352,0,71,73,282632,68
5,41,61,1,2367156,255,255,1905,1,149,6,51,61,2,255,Chelsea,2,169,67,-1,183277,10,-1,2,9,41631,1,285,1,0,85,83,83,85,0,38,82,82,0,0,51,183277,0,164889,50,193165,1,7,51,5,193165,3,5,164889,0,0,0,207865,1,183277,6,0,0,0,36,93406000,41,84,31,3,0,183277,192638,2,0,10,353,0,86,41,139289,85
7,41,54,1,1326470,255,255,1878,1,156,3,53,54,2,255,Everton,2,156,67,-1,205175,8,-1,2,7,39571,0,282,9,0,82,81,82,79,-2,40,79,79,0,0,51,205175,2,132138,25,177358,1,5,51,2,282211,5,7,132138,0,0,0,188253,0,205175,9,0,0,0,36,64395000,41,80,31,4,0,205175,54050,2,0,6,353,0,84,41,1056810,80
8,45,255,255,49996,134,46,1919,235,255,3,53,225,3,67,Leeds United,3,1,43,-1,198143,7,-1,1,6,37890,2,269,1939,1,71,72,71,62,-1,52,71,71,2,0,44,205360,0,66577,43,198143,0,1,39,2,280741,7,8,1056785,0,0,0,189456,0,198143,3,0,0,0,51,5500000,44,72,39,5,0,198143,179591,2,0,1,352,0,74,43,526353,62
9,41,1,204,2049656,255,255,1892,214,1,4,53,1,1,255,Liverpool,2,1,67,-1,189242,9,-1,1,9,54074,1,282,11,0,82,81,82,83,-2,53,80,80,0,0,66,189242,1,164864,76,189242,1,7,66,2,189242,4,9,172032,2,0,0,181291,1,189242,18,0,0,1,49,76002000,45,82,50,4,0,200454,189242,2,0,7,353,0,85,56,172032,83
10,41,177,133,2955064,255,255,1880,133,222,4,53,177,1,255,Manchester City,2,232,60,-1,230666,10,-1,2,9,55097,0,300,11,0,85,83,85,84,-2,28,81,81,0,0,66,230666,0,98977,50,236499,0,5,52,5,236499,3,10,98977,1,0,0,184344,1,230666,4,0,1,1,30,150000000,33,83,37,1,0,230666,192985,2,0,9,353,0,86,36,99489,84
11,41,14,226,3408860,255,255,1878,1,14,4,53,1,1,255,Manchester Utd,2,1,66,-1,195864,10,-1,2,10,75643,0,300,9,0,83,84,85,86,-2,49,82,81,0,0,52,195864,1,83236,52,195864,1,12,52,5,210008,4,11,155940,0,0,0,193469,1,195864,20,0,0,1,50,169200000,31,83,36,1,0,192505,195864,2,0,10,353,0,86,62,545060,88
12,45,25,224,249995,255,255,1876,235,34,5,54,25,3,255,Middlesbrough,3,34,26,-1,281301,1,-1,2,5,34000,2,315,13,2,72,73,72,74,-1,51,71,71,2,0,27,217287,0,1082674,77,186385,1,0,32,2,186385,5,12,565554,0,0,0,200408,0,281301,0,0,0,0,50,18000000,43,73,63,4,0,206534,186385,2,0,2,353,0,74,57,543026,74
13,45,1,1,585565,255,255,1892,1,1,3,54,1,2,255,Newcastle Utd,2,1,46,-1,204077,10,-1,1,7,52404,0,342,106,0,75,75,74,74,-1,49,75,75,0,0,41,204077,2,1056768,60,204077,1,6,56,4,203535,5,13,1056768,0,0,0,197948,0,204077,4,0,0,0,53,34071000,41,75,56,7,0,192387,186395,2,0,3,352,0,80,60,1073152,73
14,45,36,221,31997,255,255,1865,210,33,4,52,36,9,255,Nott'm Forest,3,33,43,-1,193780,7,-1,2,5,30445,2,352,91,2,70,70,70,72,-1,36,69,69,2,0,46,193780,2,1049648,27,212803,0,2,67,2,193780,7,14,1049648,0,0,0,171831,0,193780,1,0,0,1,38,3750000,53,70,33,8,0,212803,210985,2,0,1,352,0,74,53,1056816,72
